Name,Description,Release Date,Type,Cover Original,Track Number,Appears On,Top Songs,Spotify,Apple Music,YouTube,Genius,SongBPM
Do I Wanna Know? (triple j Like a Version),,,"Core Track, Cover",Arctic Monkeys,,Do I Wanna Know? (triple j Like a Version),,,,https://www.youtube.com/watch?v=CjwwmFrsX_E
Good Girls (Kito remix),,,"Core Track, Remix",,2,Good Girls (The Remixes)
Good Girls (Prospa remix),,,"Core Track, Remix",,3,Good Girls (The Remixes)
Good Girls (KC Lights 6am remix),,,"Core Track, Remix",,4,Good Girls (The Remixes)
Good Girls,,,Core Track,,5,Good Girls (The Remixes)
Good Girls (John Carpenter Remix),,,"Core Track, Remix",,A,Good Girls (John Carpenter Remix) b/w Turning The Bones (CHVRCHES Remix)
Turning The Bones (Chvrches Remix),,,"Core Track, Remix",,B,Good Girls (John Carpenter Remix) b/w Turning The Bones (CHVRCHES Remix)
The Killing Moon (Amazon original),,,"Core Track, Cover",Echo & the Bunnymen,1,The Killing Moon (Amazon original)
Over,,,Core Track,,1,Over,Top
Addicted to Love,,,"Core Track, Cover",Robert Palmer,1,"Addicted to Love (From ""Tell Me Lies Season 3 "")",Top
Warning Call,,,Core Track,,1,Warning Call (Theme From Mirror’s Edge Catalyst)
Death Stranding,,,Core Track,,1,Death Stranding,Top
Down Side of Me (live),,,"Core Track, Live Recording",,1,Down Side of Me (live)
LOVE,,,"Core Track, Cover",Kendrick Lamar,1,LOVE (triple j Like A Version)
XO (Beyoncé Cover),,,Cover,Beyoncé,,Live
Just like Heaven (The Cure),,,Cover,The Cure,,Live
Good Girls (John Carpenter remix),,,"Core Track, Remix",,1,Good Girls (John Carpenter remix)
Good Girls,,,Core Track,,2,Good Girls (John Carpenter remix)
Turning The Bones (Chvrches Remix),,,"Core Track, Remix",,1,Turning the Bones (Chvrches remix)
Graffiti (M-22 Remix),,,"Core Track, Remix",,1,Graffiti (M-22 remix)
Graffiti (M-22 Extended Remix),,,"Bonus Track, Remix",,,Graffiti (M-22 remix)
Get Out (One Bit remix),,,"Core Track, Remix",,1,Get Out (The Remixes)
Get Out (Roosevelt remix),,,"Core Track, Remix",,2,Get Out (The Remixes)
Bury It (Keys N Krates Remix),,,"Core Track, Remix",,1,Bury It (Keys N Krates Remix)
Leave a Trace (Goldroom remix),,,"Core Track, Remix",,1,Leave a Trace (Goldroom remix)
Dead Air,,,Core Track,,1,Dead Air
Never Ending Circles,,,Core Track,,A1,Every Open Eye (10th Anniversary Special Edition)
Leave a Trace,,,Core Track,,A2,Every Open Eye (10th Anniversary Special Edition)
Keep You on My Side,,,Core Track,,A3,Every Open Eye (10th Anniversary Special Edition)
Make Them Gold,,,Core Track,,A4,Every Open Eye (10th Anniversary Special Edition)
Clearest Blue,,,Core Track,,A5,Every Open Eye (10th Anniversary Special Edition)
High Enough to Carry You Over,,,Core Track,,B1,Every Open Eye (10th Anniversary Special Edition)
Empty Threat,,,Core Track,,B2,Every Open Eye (10th Anniversary Special Edition)
Down Side of Me,,,Core Track,,B3,Every Open Eye (10th Anniversary Special Edition)
Playing Dead,,,Core Track,,B4,Every Open Eye (10th Anniversary Special Edition)
Bury It,,,Core Track,,B5,Every Open Eye (10th Anniversary Special Edition)
Afterglow,,,Core Track,,B6,Every Open Eye (10th Anniversary Special Edition)
Get Away,,,Core Track,,C1,Every Open Eye (10th Anniversary Special Edition)
Follow You,,,Core Track,,C2,Every Open Eye (10th Anniversary Special Edition)
Bow Down,,,Core Track,,C3,Every Open Eye (10th Anniversary Special Edition)
Warning Call (Theme From Mirror’s Edge Catalyst),,,Core Track,,C4,Every Open Eye (10th Anniversary Special Edition)
Bury It (feat. Hayley Williams),,,Core Track,,C5,Every Open Eye (10th Anniversary Special Edition),Top
Up in Arms,,,Core Track,,C6,Every Open Eye (10th Anniversary Special Edition)
Leave a Trace (Four Tet remix),,,"Core Track, Remix",,D1,Every Open Eye (10th Anniversary Special Edition)
Empty Threat (Big Wild remix),,,"Core Track, Remix",,D2,Every Open Eye (10th Anniversary Special Edition)
Clearest Blue (Gryffin remix),,,"Core Track, Remix",,D3,Every Open Eye (10th Anniversary Special Edition)
Bury It (Keys n Krates remix),,,"Core Track, Remix",,D4,Every Open Eye (10th Anniversary Special Edition)
Leave a Trace (Goldroom remix),,,"Core Track, Remix",,D5,Every Open Eye (10th Anniversary Special Edition)
Empty Threat (Whyt Noyz remix),,,"Bonus Track, Remix",,,Every Open Eye (10th Anniversary Special Edition)
Clearest Blue (KDA remix),,,"Bonus Track, Remix",,,Every Open Eye (10th Anniversary Special Edition)
Clearest Blue (live at Pitchfork Music Festival),,,"Bonus Track, Live Recording",,,Every Open Eye (10th Anniversary Special Edition)
The Mother We Share,,,Core Track,,A1,The Bones of What You Believe (10 year anniversary special edition),,,,https://www.youtube.com/watch?v=_mTRvJ9fugM
We Sink,,,Core Track,,A2,The Bones of What You Believe (10 year anniversary special edition)
Gun,,,Core Track,,A3,The Bones of What You Believe (10 year anniversary special edition),,,,https://www.youtube.com/watch?v=ktoaj1IpTbw
Tether,,,Core Track,,A4,The Bones of What You Believe (10 year anniversary special edition)
Lies,,,Core Track,,A5,The Bones of What You Believe (10 year anniversary special edition),,,,https://www.youtube.com/watch?v=81RqEnvczV8
Under the Tide,,,Core Track,,A6,The Bones of What You Believe (10 year anniversary special edition)
Recover,,,Core Track,,B1,The Bones of What You Believe (10 year anniversary special edition)
Night Sky,,,Core Track,,B2,The Bones of What You Believe (10 year anniversary special edition)
Science/Visions,,,Core Track,,B3,The Bones of What You Believe (10 year anniversary special edition)
Lungs,,,Core Track,,B4,The Bones of What You Believe (10 year anniversary special edition)
By the Throat,,,Core Track,,B5,The Bones of What You Believe (10 year anniversary special edition)
You Caught the Light,,,Core Track,,B6,The Bones of What You Believe (10 year anniversary special edition)
Manhattan,,,Core Track,,C1,The Bones of What You Believe (10 year anniversary special edition)
White Summer,,,Core Track,,C2,The Bones of What You Believe (10 year anniversary special edition)
Talking in My Sleep,,,Core Track,,C3,The Bones of What You Believe (10 year anniversary special edition)
City on Fire,,,Core Track,,C4,The Bones of What You Believe (10 year anniversary special edition)
We Sink (live at Ancienne Belgique / 2013),,,Core Track,,D1,The Bones of What You Believe (10 year anniversary special edition)
Now Is Not the Time (live at Ancienne Belgique / 2013),,,Core Track,,D2,The Bones of What You Believe (10 year anniversary special edition)
Lies (live at Ancienne Belgique / 2013),,,Core Track,,D3,The Bones of What You Believe (10 year anniversary special edition)
Strong Hand (live at Ancienne Belgique / 2013),,,Core Track,,D4,The Bones of What You Believe (10 year anniversary special edition)
By the Throat (live at Ancienne Belgique / 2013),,,Core Track,,D5,The Bones of What You Believe (10 year anniversary special edition)
Never Ending Circles,,,Core Track,,1,Every Open Eye (Extended Edition)
